37,37,35,33,34,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,22,24,23,23,22,22,22,22,22,24,24,NA,NA,NA
26,25,22,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,36,36,35,34,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,29,24,23,25,19,20,21,15,NA,NA,NA,NA,NA,NA
29,30,33,28,31,26,27,28,26,22,24,20,NA,NA,NA
32,31,30,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,20,19,19,18,18,16,13,13,NA,NA,NA,NA,NA,NA
31,30,29,26,24,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,17.5,17,18,19,19,15,15,13,15,14,15,NA,NA,NA
32,32,33,34,32,33,32,32,34,32,31,28,NA,NA,NA
32,30,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,30,33,29,31,28,27,24,23,21,18,19,NA,NA,NA
36,35,34,32,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,31,31,28,24,23,21,21,22,19,18,18,NA,NA,NA
21,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,28,30,29,29,26,22,25,21,21,21,18,NA,NA,NA
24,23,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,38,38,37,37,30,29,NA,NA,NA,NA,NA,NA,NA,NA
35,35,35,37,36,35,34,35,34,30,32,34,NA,NA,NA
34,36,35,36,34,33,34,32,31,31,31,30,29,NA,NA
29,28,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,34,34,32,31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,27,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,30,31,27,30,29,26,24,24,23,20,20,NA,NA,NA
33,36,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,39,39,39,39,39,39,38,39,39,39,39,NA,NA,NA
26,28,26,26,23,19,19,19,18,15,15,12,11,12,NA
27,27,27,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,12.5,12,11,10,10,7,10,NA,NA,NA,NA,NA,NA,NA
